tag,4_no_cluster,5_no_cluster,6_no_cluster
artichoke,0,1,0
asparagus,0,1,0
bamboo,1,0,5
shoot,0,4,1
celery,0,1,0
cruciferous,2,2,2
cucumber,0,1,0
fennel,0,1,0
greens,3,3,3
gumbo,1,0,5
leek,0,1,0
legume,0,1,0
mushroom,0,1,0
plantain,0,1,0
pumpkin,0,1,0
root,0,4,1
squash,0,1,0
truffle,0,1,0
beet,0,1,0
spinach,0,1,0
oven,0,4,1
grind,0,1,0
production,2,2,2
formation,2,2,2
brittle,1,0,4
butterscotch,1,0,4
cane,0,4,1
caramel,1,0,4
carob,0,4,1
cotton,1,0,5
easter,2,2,2
fondant,1,0,4
fudge,1,0,4
gumdrop,1,0,4
hard,2,2,2
crisp,1,0,4
jelly,1,0,4
bean,3,3,3
licorice,0,1,0
lollipop,1,0,4
marshmallow,1,0,4
marzipan,1,0,4
mint,2,2,2
nougat,1,0,4
nut,0,4,1
peanut,0,4,1
popcorn,0,1,0
praline,1,0,4
sugar,1,0,4
taffy,1,0,4
turkish,2,2,2
delight,2,2,2
gin,1,0,4
freeze,0,4,1
coal,1,0,5
dehydrate,2,2,2
pickle,1,0,4
refrigerate,2,2,2
reward,2,2,2
green,2,2,2
floral,2,2,2
frond,0,4,1
greenery,0,4,1
rosette,0,4,1
caper,0,1,0
bud,0,4,1
alfalfa,0,1,0
seafood,3,3,3
catfish,3,3,3
pike,0,4,1
sucker,0,1,0
octopus,3,3,3
large,2,2,2
myrtle,0,1,0
roe,3,3,3
caviar,3,3,3
coral,2,2,2
saltwater,1,0,5
cod,0,4,1
grouper,3,3,3
monkfish,3,3,3
pollack,0,1,0
rockfish,3,3,3
swordfish,3,3,3
whiting,3,3,3
shellfish,3,3,3
clam,0,1,0
crayfish,3,3,3
lobster,3,3,3
mussel,3,3,3
squid,3,3,3
rocky,2,2,2
mountain,0,4,1
round,0,4,1
slop,1,0,4
yogurt,3,3,3
blueberry,0,1,0
frozen,2,2,2
