name,address,plus_code,category,overall_rating,url,keywords
Omni-Theatre by Science Centre Singapore,,,IMAX theater,4.4,"https://www.google.com/maps/place/Omni+Theatre/@1.3337803,103.7335403,17z/data=!4m9!1m2!2m1!1sOmni-Theatre+by+Science+Centre+Singapore!3m5!1s0x31da10041571ca59:0x853f0ff7e80eb2a4!8m2!3d1.3343811!4d103.7358137!15sCihPbW5pLVRoZWF0cmUgYnkgU2NpZW5jZSBDZW50cmUgU2luZ2Fwb3JlWioiKG9tbmkgdGhlYXRyZSBieSBzY2llbmNlIGNlbnRyZSBzaW5nYXBvcmWSAQxpbWF4X3RoZWF0ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXdNMlJVWDFoQkVBRQ","['experience', 'show', 'screen', 'documentary', 'science', 'space', 'stars', 'moon', 'sphere', 'dome']"
Kusu Island,,,,4.3,"https://www.google.com/maps/place/Kusu+Island/@1.2230992,103.8594289,18z/data=!3m1!4b1!4m5!3m4!1s0x31da1ee6db24b149:0xa81552845dec4cb!8m2!3d1.2232435!4d103.8611194","['good', 'picnic', 'family', 'small', 'temples', 'ferry', 'monkeys', 'big', 'pray', 'hill']"
Lazarus Island,,,,4.6,"https://www.google.com/maps/place/Lazarus+Island/@1.2294664,103.8421034,14.96z/data=!4m5!3m4!1s0x31da1ee8b3f07ab9:0x734f010b626b98ce!8m2!3d1.2229878!4d103.8542344","['beach', 'water', 'ferry', 'clean', 'walk', 'drinks', 'family', 'bag', 'crowd', 'rain']"
Changi Beach,,,Park,4.5,"https://www.google.com/maps/place/Changi+Beach+Park/@1.3883547,103.9874655,15z/data=!4m9!1m2!2m1!1sChangi+Beach!3m5!1s0x31da3c0b63da3653:0xe8220a55468c725c!8m2!3d1.3909433!4d103.9920554!15sCgxDaGFuZ2kgQmVhY2haDiIMY2hhbmdpIGJlYWNokgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdkxYRk1Uak5uUlJBQg","['landing', 'fishing', 'plane', 'sunrise', 'sea', 'airport', 'bike', 'WWII', 'jetty', 'ferry']"
Temple of Sri Kailawasanathan Swami Devasthanam Kovil,,,Hindu temple,4.6,"https://www.google.com/maps/place/Sri+Kailawasanathan+Swami+Devasthanam+Kovil/@6.9305618,79.852824,16z/data=!4m9!1m2!2m1!1sTemple+of+Sri+Kailawasanathan+Swami+Devasthanam+Kovil!3m5!1s0x3ae2591606d6cfc5:0x81a6272572cbda79!8m2!3d6.9305618!4d79.8572014!15sCjVUZW1wbGUgb2YgU3JpIEthaWxhd2FzYW5hdGhhbiBTd2FtaSBEZXZhc3RoYW5hbSBLb3ZpbJIBDGhpbmR1X3RlbXBsZQ","['murugan', 'shiva', 'tourist', 'blessings', 'ritual', 'photos', 'statue', 'architecture', 'gods']"
Hort Park,,,Park,4.4,"https://www.google.com/maps/place/HortPark/@1.279025,103.7987297,17z/data=!4m9!1m2!2m1!1sHort+Park!3m5!1s0x31da1bc8814ef80b:0xf2c5741d34475f7c!8m2!3d1.2790995!4d103.7999436!15sCglIb3J0IFBhcmtaCyIJaG9ydCBwYXJrkgEEcGFyaw","['flowers', 'wedding', 'horticulture', 'educational', 'botanic', 'flora', 'greenhouses', 'vending', 'vineyard', 'ridge']"
Sembawang Hot Spring,,,Park,4.3,"https://www.google.com/maps/place/Sembawang+Hot+Spring+Park/@1.4343386,103.8208731,17z/data=!4m9!1m2!2m1!1sSembawang+Hot+Spring!3m5!1s0x31da1379690e0b5b:0xf0ac7753109eac62!8m2!3d1.4342051!4d103.8227849!15sChRTZW1iYXdhbmcgSG90IFNwcmluZ1oWIhRzZW1iYXdhbmcgaG90IHNwcmluZ5IBBHBhcms","['bucket', 'spring', 'hot', 'boiled', 'tap', 'foot', 'container', 'sulphur', 'chicken', 'ashiyu']"
HarbourFront Centre,,,Shopping mall,4.3,"https://www.google.com/maps/place/HarbourFront+Centre/@1.2672846,103.8154457,15z/data=!4m9!1m2!2m1!1sHarbourFront+Centre!3m5!1s0x31da1be268750ce5:0x6369471795110bc1!8m2!3d1.2643689!4d103.8200727!15sChNIYXJib3VyRnJvbnQgQ2VudHJlWhUiE2hhcmJvdXJmcm9udCBjZW50cmWSAQ9zaG9wcGluZ19jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjNialJxVFd4UlJSQUI","['vivocity', 'ferry', 'port', 'cruise', 'travel', 'island', 'tickets', 'immigration', 'passengers', 'money']"
Sentosa Golf Club,,,Golf club,4.7,"https://www.google.com/maps/place/Sentosa+Golf+Club/@1.244026,103.8268983,17z/data=!4m9!1m2!2m1!1sSentosa+Golf+Club!3m5!1s0x31da1eb029a89cc7:0xa7bff56b6055177b!8m2!3d1.2439288!4d103.8292753!15sChFTZW50b3NhIEdvbGYgQ2x1YloTIhFzZW50b3NhIGdvbGYgY2x1YpIBCWdvbGZfY2x1YpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNd01XSnFRM3BSUlJBQg","['experience', 'course', 'sea', 'cafe', 'greens', 'condition', 'scenery', 'price']"
Air Force Museum,,,Museum,4.3,"https://www.google.com/maps/place/The+Air+Force+Museum/@1.3464321,103.8968944,17z/data=!4m9!1m2!2m1!1sAir+Force+Museum!3m5!1s0x31da17c245555551:0x513008a535b27946!8m2!3d1.3465164!4d103.8994198!15sChBBaXIgRm9yY2UgTXVzZXVtIgOIAQGSAQZtdXNldW0","['kids', 'planes', 'learn', 'floor', 'air', 'simulator', 'bus', 'air-conditioned', 'f-16', 'games']"
